# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		4776		2315		1563
1		4142		4526		1692
2		3765		6681		1724
3		3491		8816		1756
4		3395		10914		1773
5		3281		13036		1806
6		3190		15114		1794
7		3136		17174		1798
8		3088		19270		1786
9		3057		21338		1769
10		3020		23429		1781
11		2992		25460		1793
12		2914		27555		1794
13		2902		29616		1809
14		2861		31669		1806
15		2813		33759		1821
16		2784		35834		1780
17		2746		37888		1806
18		2756		39926		1782
19		2704		41984		1797
20		2729		44010		1813
21		2684		46042		1823
22		2692		48064		1813
23		2649		50106		1821
24		2614		52163		1829
25		2584		54195		1822
26		2547		56209		1823
27		2525		58272		1817
28		2506		60296		1792
29		2500		62349		1800
30		2479		64396		1827
31		2465		66438		1783
32		2462		68446		1810
33		2421		70478		1772
34		2420		72481		1779
35		2405		74520		1814
36		2390		76521		1798
37		2367		78538		1792
38		2378		80557		1787
39		2403		82573		1801
40		2383		84587		1807
41		2375		86606		1822
42		2362		88631		1800
43		2371		90651		1829
44		2347		92657		1805
45		2351		94705		1807
46		2329		96712		1773
47		2312		98733		1787
48		2275		100729		1803
49		2264		102736		1814
50		2265		104772		1811
51		2272		106823		1797
52		2259		108837		1817
53		2257		110831		1816
54		2258		112866		1836
55		2228		114897		1806
56		2224		116913		1804
57		2232		118955		1814
58		2196		120997		1797
59		2207		123043		1791
60		2195		125096		1804
61		2207		127122		1789
62		2210		129144		1791
63		2225		131163		1788
64		2242		133184		1791
65		2213		135220		1802
66		2209		137245		1805
67		2193		139272		1801
68		2160		141291		1814
69		2168		143303		1811
70		2159		145313		1801
71		2163		147326		1821
72		2170		149363		1823
73		2168		151371		1806
74		2166		153369		1827
75		2147		155413		1798
76		2144		157425		1807
77		2155		159459		1809
78		2154		161487		1806
79		2156		163501		1799
80		2155		165522		1781
81		2143		167534		1814
82		2163		169568		1791
83		2160		171597		1806
84		2172		173613		1797
85		2171		175642		1813
86		2147		177684		1799
87		2169		179737		1802
88		2162		181753		1799
89		2128		183794		1788
90		2130		185821		1789
91		2138		187826		1782
92		2124		189838		1794
93		2111		191882		1803
94		2121		193885		1785
95		2132		195916		1792
96		2114		197934		1794
97		2109		199959		1803
98		2119		201983		1805
99		2090		204013		1787
